Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor22,ch7,64498,M,10,Night
Monitor22,ch8,64498,M,3.166666667,Night
Monitor22,ch9,64498,M,10,Night
Monitor24,ch1,Control,M,2.5,Night
Monitor24,ch10,Control,M,4.833333333,Night
Monitor24,ch11,Control,M,1.5,Night
Monitor24,ch12,Control,M,2.666666667,Night
Monitor24,ch13,Control,M,1,Night
Monitor24,ch14,Control,M,3,Night
Monitor24,ch15,Control,M,1.333333333,Night
Monitor24,ch16,Control,M,0.833333333,Night
Monitor24,ch17,Control,M,5.666666667,Night
Monitor24,ch18,Control,M,3,Night
Monitor24,ch19,Control,M,1.5,Night
Monitor24,ch20,Control,M,3,Night
Monitor24,ch21,Control,M,3.333333333,Night
Monitor24,ch22,Control,M,1.5,Night
Monitor24,ch23,Control,M,2.333333333,Night
Monitor24,ch24,Control,M,2.666666667,Night
Monitor24,ch25,Control,M,10.5,Night
Monitor24,ch26,Control,M,3.666666667,Night
Monitor24,ch27,Control,M,5.5,Night
Monitor24,ch28,Control,M,4.666666667,Night
Monitor24,ch29,Control,M,0.833333333,Night
Monitor24,ch3,Control,M,0.833333333,Night
Monitor24,ch30,Control,M,1.333333333,Night
Monitor24,ch31,Control,M,2.833333333,Night
Monitor24,ch32,Control,M,1,Night
Monitor24,ch4,Control,M,6.166666667,Night
Monitor24,ch5,Control,M,8.333333333,Night
Monitor24,ch6,Control,M,4.833333333,Night
Monitor24,ch7,Control,M,3.166666667,Night
Monitor24,ch8,Control,M,2.333333333,Night
Monitor24,ch9,Control,M,3.166666667,Night
Monitor56,ch1,62872,M,6.666666667,Night
Monitor56,ch10,62872,M,3.833333333,Night
Monitor56,ch11,62872,M,4.666666667,Night
Monitor56,ch12,62872,M,4,Night
Monitor56,ch13,62872,M,7.166666667,Night
Monitor56,ch14,62872,M,4.833333333,Night
Monitor56,ch15,62872,M,8.166666667,Night
Monitor56,ch16,62872,M,6.333333333,Night
Monitor56,ch17,62872,M,6.5,Night
Monitor56,ch18,62872,M,5.666666667,Night
Monitor56,ch19,62872,M,1.333333333,Night
Monitor56,ch2,62872,M,2,Night
Monitor56,ch20,62872,M,4.833333333,Night
Monitor56,ch21,62872,M,6.666666667,Night
Monitor56,ch22,62872,M,7.666666667,Night
Monitor56,ch23,62872,M,3.166666667,Night
Monitor56,ch24,62872,M,9.5,Night
Monitor56,ch25,62872,M,9,Night
Monitor56,ch26,62872,M,6,Night
Monitor56,ch27,62872,M,2.5,Night
Monitor56,ch28,62872,M,5.166666667,Night
Monitor56,ch29,62872,M,3.333333333,Night
Monitor56,ch3,62872,M,7.666666667,Night
Monitor56,ch30,62872,M,8,Night
Monitor56,ch31,62872,M,4.5,Night
Monitor56,ch32,62872,M,4.666666667,Night
Monitor56,ch4,62872,M,3.5,Night
Monitor56,ch5,62872,M,4.666666667,Night
